TaskID,WaitTimeOrDetourTime
0,0.000000
1,0.000000
2,4.000000
3,5.147000
4,0.000000
5,0.000000
6,4.000000
7,9.417001
8,0.000000
9,0.000000
10,0.000000
11,0.000000
12,0.000000
13,0.000000
14,0.000000
15,0.000000
16,0.000000
17,0.000000
18,0.000000
19,0.000000
20,0.000000
21,0.000000
22,0.000000
23,0.000000
24,0.000000
25,0.000000
26,4.000000
27,4.364000
28,8.000000
29,4.000000
30,0.000000
31,0.000000
32,4.000000
33,6.615000
34,0.000000
35,0.000000
36,0.000000
37,0.000000
38,4.000000
39,6.107000
40,0.000000
41,0.000000
42,0.000000
43,0.000000
44,0.000000
45,0.000000
46,7.000000
47,7.705000
48,9.928000
49,8.785001
50,0.000000
51,0.000000
52,0.000000
53,0.000000
54,0.000000
55,0.000000
56,0.000000
57,0.000000
58,0.000000
59,0.000000
60,0.000000
61,0.000000
62,0.000000
63,0.000000
64,0.000000
65,0.000000
66,0.000000
67,0.000000
68,7.000000
69,0.000000
70,6.000000
71,6.709000
72,0.000000
73,0.000000
74,9.928000
75,5.856000
76,0.000000
77,0.000000
78,9.928000
79,8.000000
80,3.000000
81,3.619000
82,0.000000
83,0.000000
84,0.000000
85,0.000000
86,6.000000
87,8.506001
88,0.000000
89,0.000000
90,0.000000
91,0.000000
92,0.000000
93,0.000000
94,0.000000
95,0.000000
96,0.000000
97,0.000000
98,0.000000
99,0.000000
100,0.000000
101,0.000000
102,1.000000
103,0.000000
104,0.000000
105,0.000000
106,9.000000
107,0.000000
108,0.000000
109,0.000000
110,4.000000
111,4.023000
112,0.000000
113,0.000000
114,0.000000
115,0.000000
116,0.000000
117,0.000000
118,0.000000
119,0.000000
120,0.000000
121,0.000000
122,4.000000
123,0.000000
124,0.000000
125,0.000000
126,0.000000
127,0.000000
128,0.000000
129,0.000000
130,4.000000
131,5.072000
132,4.000000
133,7.630001
134,8.000000
135,8.182000
136,4.000000
137,0.000000
138,4.000000
139,0.000000
140,0.000000
141,0.000000
142,0.000000
143,0.000000
144,8.000000
145,0.159000
146,8.000000
147,0.000000
148,8.000000
149,2.144000
150,4.000000
151,0.000000
152,0.000000
153,0.000000
154,5.000000
155,4.779000
156,8.000000
157,0.000000
158,6.000000
159,0.000000
160,5.000000
161,0.000000
162,0.000000
163,0.000000
164,4.000000
165,0.000000
166,3.000000
167,6.178000
168,7.000000
169,8.008000
170,4.000000
171,0.000000
172,0.000000
173,0.000000
174,4.000000
175,0.000000
176,0.000000
177,0.000000
178,0.000000
179,0.000000
180,4.000000
181,1.417000
182,0.000000
183,0.000000
184,0.000000
185,0.000000
186,4.000000
187,4.000000
188,0.000000
189,0.000000
190,0.000000
191,0.000000
192,3.000000
193,4.740000
194,2.000000
195,3.717000
196,4.000000
197,7.941000
198,3.000000
199,0.913000
200,4.000000
201,5.929000
202,9.928000
203,0.000000
204,4.928000
205,0.000000
206,0.000000
207,0.000000
208,4.000000
209,0.000000
210,4.000000
211,0.000000
212,2.000000
