TaskID,FinishTime
0,0.000000
1,40.000244
2,0.000000
3,35.552963
4,0.000000
5,6.928240
6,0.000000
7,99.036011
8,0.000000
9,44.542404
10,0.000000
11,17.435680
12,0.000000
13,68.235352
14,0.000000
15,69.742798
16,0.000000
17,39.395676
18,0.000000
19,24.331200
20,0.000000
21,10.583040
22,3.000000
23,11.000080
24,3.000000
25,11.000080
26,7.000000
27,31.331200
28,4.000000
29,28.980160
30,4.000000
31,139.470398
32,4.000000
33,44.000244
34,5.000000
35,21.000080
36,5.000000
37,23.330399
38,11.000080
39,39.000240
40,5.000000
41,27.271202
42,5.000000
43,41.000244
44,6.000000
45,57.068954
46,6.000000
47,68.865356
48,13.856480
49,91.287109
50,7.000000
51,85.689758
52,7.000000
53,63.000320
54,7.000000
55,98.652069
56,9.000000
57,63.111359
58,9.000000
59,63.111282
60,9.000000
61,21.000080
62,10.000000
63,56.130478
64,10.000000
65,14.000000
66,11.000000
67,50.395676
68,11.000000
69,29.330399
70,11.000000
71,19.000080
72,17.856480
73,91.287109
74,12.000000
75,130.389999
76,16.000000
77,26.583038
78,12.000000
79,71.194962
80,12.000000
81,96.000549
82,15.000000
83,120.830811
84,23.000080
85,43.000240
86,15.000000
87,43.844559
88,15.000000
89,37.271202
90,20.000000
91,69.115921
92,16.000000
93,40.331200
94,16.000000
95,52.660797
96,20.000000
97,59.395676
98,17.000000
99,83.813599
100,17.000000
101,45.000160
102,24.000000
103,44.784721
104,17.000000
105,51.871445
106,17.000000
107,55.157761
108,18.000000
109,77.733032
110,22.000000
111,80.923996
112,19.000000
113,64.077919
114,19.000000
115,51.741600
116,20.000000
117,88.235352
118,24.000000
119,55.749199
120,20.000000
121,72.307121
122,21.000000
123,170.613770
124,21.000000
125,35.422321
126,22.000000
127,43.166161
128,22.000000
129,79.689117
130,23.000000
131,29.928238
132,23.000000
133,120.077850
134,23.000000
135,111.453918
136,23.000000
137,31.000080
138,24.000000
139,69.078003
140,24.000000
141,134.924164
142,24.000000
143,129.148163
144,24.000000
145,28.000000
146,28.000000
147,70.332321
148,28.000000
149,52.980164
150,37.928318
151,166.852890
152,28.000000
153,79.068878
154,29.000000
155,43.422321
156,29.000000
157,117.453918
158,31.000000
159,71.000244
160,33.000000
161,141.885925
162,33.000000
163,133.638550
164,33.000000
165,39.928238
166,33.000000
167,57.980080
168,38.000000
169,69.241196
170,34.000000
171,102.235291
172,38.000000
173,145.555283
174,34.000000
175,121.727448
176,34.000000
177,85.068878
178,35.000000
179,73.157761
180,43.928238
181,70.158157
182,35.000000
183,66.749199
184,41.928318
185,52.856556
186,36.000000
187,60.331200
188,40.000000
189,74.871361
190,36.000000
191,94.923996
192,38.000000
193,76.157837
194,38.000000
195,60.271202
196,38.000000
197,42.000000
198,38.000000
199,62.000160
200,38.000000
201,110.774170
202,43.000000
203,57.422318
204,40.000000
205,57.435684
206,48.856556
207,162.852890
208,42.000000
209,76.871445
210,42.000000
211,62.784721
212,43.000000
213,67.980164
214,43.000000
215,53.583038
216,43.000000
217,157.752625
218,43.000000
219,105.354248
220,52.856556
221,110.545761
222,46.000000
223,130.664551
224,50.000000
225,112.482391
226,47.000000
227,68.166161
228,47.000000
229,55.000080
230,49.000000
231,135.810638
232,53.000000
233,69.000076
234,49.000000
235,62.856476
236,50.000000
237,70.784721
238,50.000000
239,72.271202
240,51.000000
241,102.068878
242,52.000000
243,62.583038
244,52.000000
245,157.148254
246,52.000000
247,64.000076
248,53.000000
249,91.574875
250,53.000000
251,148.247681
252,54.000000
253,109.425995
254,54.000000
255,88.641281
256,58.000000
257,79.166161
258,54.000000
259,82.000160
260,54.000000
261,168.752625
262,55.000000
263,102.159515
264,59.000000
265,115.307129
266,55.000000
267,61.928238
268,55.000000
269,103.497681
270,59.000000
271,69.583038
272,56.000000
273,104.497681
274,64.350555
275,94.580475
276,61.000000
277,89.844559
278,63.000000
279,80.435684
280,61.000000
281,71.583038
282,58.000000
283,62.000000
284,58.000000
285,127.742798
286,58.000000
287,165.406494
288,68.856476
289,113.934387
290,59.000000
291,76.435684
292,59.000000
293,77.330399
294,59.000000
295,77.330399
296,64.000000
297,86.330399
298,64.000000
299,96.844559
300,60.000000
301,143.235123
302,68.000000
303,106.330475
304,61.000000
