TaskID,FinishTime_Chairs,,
387,0,0,
388,1,0,
389,0,0,
390,1,0,
391,0,0,
392,1,0,
393,0,0,
394,1,0,
395,0,0,
396,1,0,
397,0,0,
398,1,0,
399,0,0,
400,1,0,
401,0,0,
402,1,0,
403,0,0,
404,1,0,
405,0,0,
406,1,0,
407,0,0,
408,1,0,
409,0,0,
410,1,0,
411,0,0,
412,1,0,
413,0,0,
414,1,0,
415,0,0,
416,1,0,
417,0,0,
418,1,0,
419,0,0,
420,1,0,
421,0,0,
422,1,0,
423,0,0,
424,1,0,
425,0,0,
426,1,0,
427,0,0,
428,1,0,
429,0,0,
430,1,0,
431,0,0,
432,1,0,
433,0,0,
434,1,0,
435,0,0,
436,1,0,
437,0,0,
438,1,0,
439,0,0,
440,1,0,
441,0,0,
442,1,0,
443,0,0,
444,1,0,
445,0,0,
446,1,0,
447,0,0,
448,1,0,
449,0,0,
450,1,0,
451,0,0,
452,1,0,
453,0,0,
454,1,0,
455,0,0,
456,1,0,
457,0,0,
458,1,0,
459,0,0,
460,1,0,
461,0,0,
462,1,0,
463,0,0,
464,1,0,
465,0,0,
466,1,0,
467,0,0,
468,1,0,
469,0,0,
470,1,0,
471,0,0,
472,1,0,
473,0,0,
474,1,0,
475,0,0,
476,1,0,
477,0,0,
478,1,0,
479,0,0,
480,1,0,
481,0,0,
482,1,0,
483,0,0,
484,1,0,
485,0,0,
486,1,0,
487,0,0,
488,1,0,
489,0,0,
490,1,0,
491,0,0,
492,1,0,
493,0,0,
494,1,0,
495,0,0,
496,1,0,
497,0,0,
498,1,0,
499,0,0,
500,1,0,
501,0,0,
502,1,0,
503,0,0,
504,1,0,
505,0,0,
506,1,0,
507,0,0,
508,1,0,
509,0,0,
510,1,0,
511,0,0,
512,1,0,
513,0,0,
514,1,0,
515,0,0,
516,1,0,
517,0,0,
518,1,0,
519,0,0,
520,1,0,
521,0,0,
522,1,0,
523,0,0,
524,1,0,
525,0,0,
526,1,0,
527,0,0,
528,1,0,
529,0,0,
530,1,0,
531,0,0,
532,1,0,
533,0,0,
534,1,0,
535,0,0,
536,1,0,
537,0,0,
538,1,0,
539,0,0,
540,1,0,
541,0,0,
542,1,0,
543,0,0,
544,1,0,
545,0,0,
546,1,0,
547,0,0,
548,1,0,
549,0,0,
550,1,0,
551,0,0,
552,1,0,
553,0,0,
554,1,0,
555,0,0,
556,1,0,
557,0,0,
558,1,0,
559,0,0,
560,1,0,
561,0,0,
562,1,0,
563,0,0,
564,1,0,
565,0,0,
566,1,0,
567,0,0,
568,1,0,
569,0,0,
570,1,0,
571,0,0,
572,1,0,
573,0,0,
574,1,0,
575,0,0,
576,1,0,
577,0,0,
578,1,0,
579,0,0,
580,1,0,
581,1,0,
582,1,0,
583,0,0,
584,2,0,
585,1,0,
586,1,0,
587,0,0,
588,1,0,
589,0,0,
590,2,0,
591,0,0,
592,1,0,
593,0,0,
594,1,0,
595,0,0,
596,1,0,
597,0,0,
598,1,0,
599,0,0,
600,1,0,
601,0,0,
602,1,0,
603,0,0,
604,2,0,
605,1,0,
606,1,0,
607,0,0,
608,1,0,
609,0,0,
610,1,0,
611,0,0,
612,1,0,
613,0,0,
614,1,0,
615,0,0,
616,1,0,
617,0,0,
618,1,0,
619,0,0,
620,1,0,
621,0,0,
622,1,0,
623,0,0,
624,1,0,
625,0,0,
626,1,0,
627,0,0,
628,1,0,
629,0,0,
630,1,0,
631,0,0,
632,1,0,
633,0,0,
634,1,0,
635,0,0,
636,1,0,
637,0,0,
638,1,0,
639,1,0,
640,1,0,
641,0,0,
642,1,0,
643,0,0,
644,1,0,
645,0,0,
646,2,0,
647,0,0,
648,1,0,
649,0,0,
650,1,0,
651,0,0,
652,1,0,
653,0,0,
654,1,0,
655,0,0,
656,1,0,
657,0,0,
658,1,0,
659,0,0,
660,1,0,
661,0,0,
662,1,0,
663,0,0,
664,1,0,
665,0,0,
666,1,0,
667,0,0,
668,1,0,
669,0,0,
670,1,0,
671,0,0,
672,2,0,
673,1,0,
674,1,0,
675,0,0,
676,1,0,
677,0,0,
678,1,0,
679,0,0,
680,1,0,
681,0,0,
682,1,0,
683,0,0,
684,1,0,
685,0,0,
686,1,0,
687,0,0,
688,1,0,
689,0,0,
690,3,0,
691,2,0,
692,1,0,
693,0,0,
694,1,0,
695,0,0,
696,1,0,
697,0,0,
698,1,0,
699,0,0,
700,1,0,
701,0,0,
702,2,0,
703,1,0,
704,1,0,
705,0,0,
706,1,0,
707,0,0,
708,1,0,
709,0,0,
710,2,0,
711,1,0,
712,1,0,
713,0,0,
714,2,0,
715,1,0,
716,1,0,
717,0,0,
718,1,0,
719,0,0,
720,1,0,
721,0,0,
722,1,0,
723,0,0,
724,1,0,
725,0,0,
726,1,0,
727,0,0,
728,1,0,
729,0,0,
730,1,0,
731,0,0,
732,1,0,
733,0,0,
734,1,0,
735,0,0,
736,1,0,
737,0,0,
738,1,0,
739,0,0,
740,1,0,
741,0,0,
742,1,0,
743,0,0,
744,1,0,
745,0,0,
746,1,0,
747,0,0,
748,1,0,
749,0,0,
750,1,0,
751,0,0,
752,1,0,
753,0,0,
754,1,0,
755,0,0,
756,1,0,
757,0,0,
758,1,0,
759,0,0,
760,1,0,
761,0,0,
762,1,0,
763,0,0,
764,1,0,
765,0,0,
766,1,0,
767,0,0,
768,1,0,
769,0,0,
770,1,0,
771,0,0,
772,1,0,
773,0,0,
774,1,0,
775,0,0,
776,1,0,
777,0,0,
778,1,0,
779,0,0,
780,1,0,
781,0,0,
782,1,0,
783,0,0,
784,1,0,
785,0,0,
786,1,0,
787,0,0,
788,1,0,
789,0,0,
790,1,0,
791,0,0,
792,1,0,
793,0,0,
794,1,0,
795,0,0,
796,1,0,
797,0,0,
798,1,0,
799,0,0,
800,1,0,
801,0,0,
802,1,0,
803,0,0,
804,1,0,
805,0,0,
806,1,0,
807,0,0,
808,1,0,
809,0,0,
810,1,0,
811,0,0,
812,1,0,
813,0,0,
814,1,0,
815,0,0,
816,1,0,
817,0,0,
818,1,0,
819,0,0,
820,1,0,
821,0,0,
822,1,0,
823,0,0,
824,1,0,
825,0,0,
826,1,0,
827,0,0,
828,1,0,
829,0,0,
830,1,0,
831,0,0,
832,1,0,
833,0,0,
834,1,0,
835,1,0,
836,1,0,
837,0,0,
838,1,0,
839,0,0,
840,1,0,
841,0,0,
842,1,0,
843,0,0,
844,1,0,
845,0,0,
846,1,0,
847,0,0,
848,1,0,
849,0,0,
850,1,0,
851,0,0,
852,1,0,
853,0,0,
854,1,0,
855,0,0,
856,1,0,
857,0,0,
858,2,0,
859,0,0,
860,1,0,
861,0,0,
862,1,0,
863,0,0,
864,1,0,
865,0,0,
866,1,0,
867,0,0,
868,1,0,
869,0,0,
870,1,0,
871,0,0,
872,1,0,
873,0,0,
874,1,0,
875,0,0,
876,1,0,
877,0,0,
878,1,0,
879,0,0,
880,1,0,
881,0,0,
882,1,0,
883,0,0,
884,1,0,
885,0,0,
886,1,0,
887,0,0,
888,1,0,
889,0,0,
890,1,0,
891,0,0,
892,1,0,
893,0,0,
894,1,0,
895,0,0,
896,1,0,
897,0,0,
898,1,0,
899,0,0,
900,1,0,
901,0,0,
902,1,0,
903,0,0,
904,1,0,
905,0,0,
906,1,0,
907,0,0,
908,1,0,
909,0,0,
910,1,0,
911,0,0,
912,1,0,
913,0,0,
914,1,0,
915,0,0,
916,1,0,
917,0,0,
918,1,0,
919,0,0,
920,1,0,
921,0,0,
922,1,0,
923,0,0,
924,1,0,
925,0,0,
926,1,0,
927,0,0,
928,1,0,
929,0,0,
930,1,0,
931,0,0,
932,1,0,
933,0,0,
934,1,0,
935,0,0,
936,1,0,
937,0,0,
938,1,0,
939,0,0,
940,1,0,
941,1,0,
942,2,0,
943,0,0,
944,1,0,
945,0,0,
946,1,0,
947,0,0,
948,1,0,
949,0,0,
950,1,0,
951,0,0,
952,1,0,
953,0,0,
954,1,0,
955,0,0,
956,1,0,
957,0,0,
958,1,0,
959,0,0,
960,1,0,
961,0,0,
962,1,0,
963,0,0,
964,1,0,
965,0,0,
966,2,0,
967,1,0,
968,1,0,
969,0,0,
970,1,0,
971,0,0,
972,1,0,
973,0,0,
974,1,0,
975,0,0,
976,1,0,
977,0,0,
978,1,0,
979,0,0,
980,1,0,
981,0,0,
982,1,0,
983,0,0,
984,1,0,
985,0,0,
986,1,0,
987,0,0,
988,1,0,
989,0,0,
990,1,0,
991,0,0,
992,2,0,
993,1,0,
994,1,0,
995,0,0,
996,1,0,
997,0,0,
998,1,0,
999,0,0,
1000,1,0,
1001,0,0,
1002,2,0,
1003,1,0,
1004,1,0,
1005,0,0,
1006,1,0,
1007,0,0,
1008,1,0,
1009,0,0,
1010,1,0,
1011,0,0,
1012,1,0,
1013,0,0,
1014,1,0,
1015,0,0,
1016,1,0,
1017,0,0,
1018,1,0,
1019,0,0,
1020,1,0,
1021,0,0,
1022,1,0,
1023,0,0,
1024,1,0,
1025,0,0,
1026,1,0,
1027,0,0,
1028,1,0,
1029,0,0,
1030,1,0,
1031,0,0,
1032,1,0,
1033,0,0,
1034,1,0,
1035,0,0,
1036,1,0,
1037,0,0,
1038,1,0,
1039,0,0,
1040,1,0,
1041,0,0,
1042,1,0,
1043,0,0,
1044,1,0,
1045,0,0,
1046,1,0,
1047,0,0,
1048,1,0,
1049,0,0,
1050,1,0,
1051,0,0,
1052,1,0,
1053,0,0,
1054,1,0,
1055,0,0,
1056,1,0,
1057,0,0,
1058,1,0,
1059,0,0,
1060,1,0,
1061,0,0,
1062,1,0,
1063,0,0,
1064,1,0,
1065,0,0,
1066,1,0,
1067,1,0,
1068,1,0,
1069,0,0,
1070,1,0,
1071,0,0,
1072,1,0,
1073,0,0,
1074,2,0,
1075,0,0,
1076,1,0,
1077,0,0,
1078,1,0,
1079,0,0,
1080,1,0,
1081,1,0,
1082,1,0,
1083,0,0,
1084,1,0,
1085,0,0,
1086,1,0,
1087,0,0,
1088,2,0,
1089,0,0,
1090,1,0,
1091,0,0,
1092,1,0,
1093,0,0,
1094,1,0,
1095,0,0,
1096,1,0,
1097,0,0,
1098,1,0,
1099,0,0,
1100,1,0,
1101,0,0,
1102,1,0,
1103,0,0,
1104,1,0,
1105,0,0,
1106,1,0,
1107,0,0,
1108,1,0,
1109,0,0,
1110,1,0,
1111,0,0,
1112,1,0,
1113,1,0,
1114,2,0,
1115,0,0,
1116,1,0,
1117,0,0,
1118,1,0,
1119,0,0,
1120,1,0,
1121,0,0,
1122,1,0,
1123,0,0,
1124,1,0,
1125,0,0,
1126,1,0,
1127,0,0,
1128,1,0,
1129,0,0,
1130,1,0,
1131,0,0,
1132,1,0,
1133,0,0,
1134,1,0,
1135,0,0,
1136,1,0,
1137,0,0,
1138,1,0,
1139,0,0,
1140,1,0,
1141,0,0,
1142,1,0,
1143,0,0,
1144,1,0,
1145,0,0,
1146,1,0,
1147,0,0,
1148,1,0,
1149,0,0,
1150,1,0,
1151,0,0,
1152,1,0,
1153,0,0,
1154,1,0,
1155,0,0,
1156,1,0,
1157,0,0,
1158,1,0,
1159,0,0,
1160,1,0,
1161,0,0,
1162,1,0,
1163,0,0,
1164,1,0,
1165,0,0,
1166,1,0,
1167,0,0,
1168,2,0,
1169,1,0,
1170,1,0,
1171,0,0,
1172,1,0,
1173,0,0,
1174,1,0,
1175,0,0,
1176,1,0,
1177,0,0,
1178,1,0,
1179,0,0,
1180,1,0,
1181,0,0,
1182,1,0,
1183,0,0,
1184,1,0,
1185,0,0,
1186,1,0,
1187,0,0,
1188,1,0,
1189,0,0,
1190,1,0,
1191,0,0,
1192,1,0,
1193,0,0,
1194,2,0,
1195,1,0,
1196,1,0,
1197,0,0,
1198,1,0,
1199,0,0,
1200,1,0,
1201,0,0,
1202,1,0,
1203,0,0,
1204,1,0,
1205,0,0,
1206,1,0,
1207,0,0,
1208,2,0,
1209,1,0,
1210,1,0,
1211,0,0,
1212,1,0,
1213,0,0,
1214,1,0,
1215,0,0,
1216,1,0,
1217,0,0,
1218,1,0,
1219,0,0,
1220,1,0,
1221,0,0,
1222,1,0,
1223,0,0,
1224,1,0,
1225,0,0,
1226,1,0,
1227,0,0,
1228,1,0,
1229,0,0,
1230,1,0,
1231,0,0,
1232,1,0,
1233,0,0,
1234,1,0,
1235,0,0,
1236,1,0,
1237,0,0,
1238,1,0,
1239,0,0,
1240,1,0,
1241,0,0,
1242,1,0,
1243,0,0,
1244,1,0,
1245,0,0,
1246,1,0,
1247,0,0,
1248,1,0,
1249,0,0,
1250,1,0,
1251,0,0,
1252,1,0,
1253,0,0,
1254,1,0,
1255,0,0,
1256,1,0,
1257,0,0,
1258,1,0,
1259,0,0,
1260,1,0,
1261,0,0,
1262,1,0,
1263,0,0,
1264,1,0,
1265,0,0,
1266,1,0,
1267,0,0,
1268,1,0,
1269,0,0,
1270,1,0,
1271,0,0,
1272,1,0,
1273,0,0,
1274,1,0,
1275,0,0,
1276,1,0,
1277,0,0,
1278,1,0,
1279,0,0,
1280,1,0,
1281,0,0,
1282,1,0,
1283,0,0,
1284,1,0,
1285,0,0,
1286,1,0,
1287,0,0,
1288,1,0,
1289,0,0,
1290,1,0,
1291,0,0,
1292,1,0,
1293,0,0,
1294,1,0,
1295,0,0,
1296,1,0,
1297,0,0,
1298,1,0,
1299,0,0,
1300,1,0,
1301,0,0,
1302,1,0,
1303,0,0,
1304,1,0,
1305,0,0,
1306,1,0,
1307,0,0,
1308,1,0,
1309,0,0,
1310,1,0,
1311,0,0,
1312,1,0,
1313,0,0,
1314,1,0,
1315,0,0,
1316,1,0,
1317,0,0,
1318,1,0,
1319,0,0,
1320,1,0,
1321,0,0,
1322,1,0,
1323,0,0,
1324,1,0,
1325,0,0,
1326,1,0,
1327,0,0,
1328,1,0,
1329,0,0,
1330,1,0,
1331,0,0,
1332,1,0,
1333,0,0,
1334,1,0,
1335,0,0,
1336,1,0,
1337,0,0,
1338,1,0,
1339,0,0,
1340,1,0,
1341,0,0,
1342,1,0,
1343,0,0,
1344,1,0,
1345,0,0,
1346,1,0,
1347,0,0,
1348,1,0,
1349,0,0,
1350,1,0,
1351,0,0,
1352,1,0,
1353,0,0,
1354,1,0,
1355,0,0,
1356,1,0,
1357,0,0,
1358,1,0,
1359,0,0,
1360,1,0,
1361,0,0,
1362,1,0,
1363,0,0,
1364,1,0,
1365,0,0,
1366,1,0,
1367,0,0,
1368,1,0,
1369,0,0,
1370,1,0,
1371,0,0,
1372,1,0,
1373,0,0,
1374,1,0,
1375,0,0,
1376,1,0,
1377,0,0,
1378,1,0,
1379,0,0,
1380,1,0,
1381,0,0,
1382,1,0,
1383,0,0,
1384,1,0,
1385,0,0,
1386,1,0,
1387,0,0,
1388,1,0,
1389,0,0,
1390,1,0,
1391,0,0,
1392,1,0,
1393,0,0,
1394,1,0,
1395,0,0,
1396,1,0,
1397,0,0,
1398,1,0,
1399,0,0,
1400,1,0,
1401,0,0,
1402,1,0,
1403,0,0,
1404,1,0,
1405,0,0,
1406,1,0,
1407,2,0,
1408,1,0,
1409,0,0,
1410,1,0,
1411,0,0,
1412,1,0,
1413,0,0,
1414,1,0,
1415,0,0,
1416,1,0,
1417,0,0,
1418,1,0,
1419,0,0,
1420,1,0,
1421,0,0,
1422,1,0,
1423,0,0,
1424,1,0,
1425,0,0,
1426,2,0,
1427,0,0,
1428,1,0,
1429,0,0,
1430,1,0,
1431,0,0,
1432,3,0,
1433,1,0,
1434,1,0,
1435,0,0,
1436,1,0,
1437,0,0,
1438,1,0,
1439,0,0,
1440,1,0,
1441,0,0,
1442,1,0,
1443,0,0,
1444,1,0,
1445,0,0,
1446,1,0,
1447,0,0,
1448,1,0,
1449,0,0,
1450,1,0,
1451,0,0,
1452,1,0,
1453,0,0,
1454,1,0,
1455,0,0,
1456,1,0,
1457,0,0,
1458,1,0,
1459,0,0,
1460,1,0,
1461,0,0,
1462,1,0,
1463,0,0,
1464,1,0,
1465,0,0,
1466,1,0,
1467,0,0,
1468,1,0,
1469,0,0,
1470,1,0,
1471,0,0,
1472,1,0,
1473,0,0,
1474,1,0,
1475,0,0,
1476,1,0,
1477,0,0,
1478,1,0,
1479,0,0,
1480,1,0,
1481,0,0,
1482,1,0,
1483,0,0,
1484,1,0,
1485,0,0,
1486,1,0,
1487,0,0,
1488,1,0,
1489,0,0,
1490,1,0,
1491,0,0,
1492,1,0,
1493,0,0,
1494,1,0,
1495,0,0,
1496,1,0,
1497,0,0,
1498,1,0,
1499,0,0,
1500,1,0,
1501,0,0,
1502,1,0,
1503,0,0,
1504,1,0,
1505,0,0,
1506,1,0,
1507,0,0,
1508,1,0,
1509,0,0,
1510,1,0,
1511,0,0,
1512,1,0,
1513,0,0,
1514,1,0,
1515,0,0,
1516,1,0,
1517,0,0,
1518,1,0,
1519,1,0,
1520,1,0,
1521,0,0,
1522,1,0,
1523,0,0,
1524,1,0,
1525,0,0,
1526,1,0,
1527,0,0,
1528,1,0,
1529,0,0,
1530,1,0,
1531,0,0,
1532,2,0,
1533,0,0,
1534,1,0,
1535,0,0,
1536,1,0,
1537,0,0,
1538,1,0,
1539,0,0,
1540,1,0,
1541,0,0,
1542,1,0,
1543,0,0,
1544,1,0,
1545,0,0,
1546,1,0,
1547,0,0,
1548,1,0,
1549,0,0,
1550,1,0,
1551,0,0,
1552,1,0,
1553,0,0,
1554,1,0,
1555,0,0,
1556,1,0,
1557,0,0,
1558,1,0,
1559,0,0,
1560,1,0,
1561,0,0,
1562,1,0,
1563,0,0,
1564,1,0,
1565,0,0,
1566,1,0,
1567,0,0,
1568,1,0,
1569,0,0,
1570,1,0,
1571,0,0,
1572,1,0,
1573,0,0,
1574,1,0,
1575,0,0,
1576,1,0,
1577,0,0,
1578,1,0,
1579,0,0,
1580,1,0,
1581,0,0,
1582,1,0,
1583,0,0,
1584,1,0,
1585,0,0,
1586,1,0,
1587,1,0,
1588,1,0,
1589,0,0,
1590,1,0,
1591,0,0,
1592,2,0,
1593,0,0,
1594,1,0,
1595,0,0,
1596,1,0,
1597,0,0,
1598,1,0,
1599,0,0,
1600,1,0,
1601,0,0,
1602,1,0,
1603,0,0,
1604,1,0,
1605,0,0,
1606,1,0,
1607,0,0,
1608,1,0,
1609,0,0,
1610,1,0,
1611,0,0,
1612,1,0,
1613,0,0,
1614,1,0,
1615,0,0,
1616,1,0,
1617,0,0,
1618,1,0,
1619,2,0,
1620,1,0,
1621,0,0,
1622,1,0,
1623,0,0,
1624,1,0,
1625,0,0,
1626,1,0,
1627,0,0,
1628,1,0,
1629,0,0,
1630,1,0,
1631,1,0,
1632,1,0,
1633,0,0,
1634,1,0,
1635,0,0,
1636,1,0,
1637,0,0,
1638,1,0,
1639,1,0,
1640,2,0,
1641,1,0,
1642,1,0,
1643,1,0,
1644,1,0,
1645,0,0,
1646,2,0,
1647,0,0,
1648,2,0,
1649,0,0,
1650,1,0,
1651,0,0,
1652,1,0,
1653,0,0,
1654,2,0,
1655,0,0,
1656,1,0,
1657,0,0,
1658,1,0,
1659,0,0,
1660,1,0,
1661,0,0,
1662,1,0,
1663,0,0,
1664,1,0,
1665,0,0,
1666,1,0,
1667,0,0,
1668,1,0,
1669,0,0,
1670,3,0,
1671,1,0,
1672,1,0,
1673,0,0,
1674,1,0,
1675,0,0,
1676,1,0,
1677,0,0,
1678,1,0,
1679,0,0,
1680,1,0,
1681,1,0,
1682,1,0,
1683,0,0,
1684,1,0,
1685,0,0,
1686,1,0,
1687,0,0,
1688,1,0,
1689,0,0,
1690,1,0,
1691,0,0,
1692,1,0,
1693,0,0,
1694,1,0,
1695,0,0,
1696,1,0,
1697,0,0,
1698,2,0,
1699,0,0,
1700,1,0,
1701,0,0,
1702,1,0,
1703,1,0,
1704,1,0,
1705,0,0,
1706,2,0,
1707,0,0,
1708,1,0,
1709,0,0,
1710,1,0,
1711,0,0,
1712,1,0,
1713,0,0,
1714,1,0,
1715,0,0,
1716,1,0,
1717,0,0,
1718,1,0,
1719,0,0,
1720,1,0,
1721,0,0,
1722,1,0,
1723,0,0,
1724,1,0,
1725,0,0,
1726,1,0,
1727,0,0,
1728,1,0,
1729,0,0,
1730,1,0,
1731,0,0,
1732,1,0,
1733,0,0,
1734,1,0,
1735,0,0,
1736,1,0,
1737,0,0,
1738,1,0,
1739,0,0,
1740,1,0,
1741,0,0,
1742,1,0,
1743,0,0,
1744,1,0,
1745,0,0,
1746,1,0,
1747,0,0,
1748,1,0,
1749,0,0,
1750,1,0,
1751,0,0,
1752,1,0,
1753,0,0,
1754,1,0,
1755,0,0,
1756,1,0,
1757,0,0,
1758,1,0,
1759,0,0,
1760,1,0,
1761,0,0,
1762,1,0,
1763,0,0,
1764,1,0,
1765,0,0,
1766,1,0,
1767,0,0,
1768,1,0,
1769,0,0,
1770,1,0,
1771,0,0,
1772,1,0,
1773,0,0,
1774,1,0,
1775,0,0,
1776,1,0,
1777,0,0,
1778,1,0,
1779,0,0,
1780,1,0,
1781,0,0,
1782,1,0,
1783,0,0,
1784,1,0,
1785,0,0,
1786,1,0,
1787,0,0,
1788,1,0,
1789,0,0,
1790,1,0,
1791,1,0,
1792,2,0,
1793,1,0,
1794,1,0,
1795,0,0,
1796,1,0,
1797,0,0,
1798,1,0,
1799,0,0,
1800,1,0,
1801,0,0,
1802,1,0,
1803,0,0,
1804,1,0,
1805,0,0,
1806,1,0,
1807,0,0,
1808,1,0,
1809,0,0,
1810,1,0,
1811,0,0,
1812,1,0,
1813,0,0,
1814,1,0,
1815,0,0,
1816,1,0,
1817,0,0,
1818,1,0,
1819,0,0,
1820,1,0,
1821,0,0,
1822,1,0,
1823,0,0,
1824,1,0,
1825,1,0,
1826,1,0,
1827,2,0,
1828,2,0,
1829,0,0,
1830,1,0,
1831,2,0,
1832,1,0,
1833,0,0,
1834,2,0,
1835,0,0,
1836,1,0,
1837,0,0,
1838,1,0,
1839,0,0,
1840,1,0,
1841,1,0,
1842,1,0,
1843,0,0,
1844,1,0,
1845,0,0,
1846,1,0,
1847,0,0,
1848,1,0,
1849,0,0,
1850,1,0,
1851,0,0,
1852,1,0,
1853,0,0,
1854,1,0,
1855,0,0,
1856,1,0,
1857,0,0,
1858,2,0,
1859,0,0,
1860,1,0,
1861,0,0,
1862,1,0,
1863,0,0,
1864,1,0,
1865,0,0,
1866,1,0,
1867,0,0,
